,lsoa
1136,E01001157
1137,E01001158
1138,E01001159
1139,E01001160
1140,E01001161
1141,E01001162
1142,E01001163
1143,E01001164
1144,E01001165
1145,E01001166
1146,E01001167
1147,E01001168
1148,E01001169
1149,E01001170
1150,E01001171
1151,E01001172
1152,E01001173
1153,E01001174
1154,E01001175
1155,E01001176
1156,E01001177
1157,E01001178
1158,E01001179
1159,E01001180
1160,E01001181
1161,E01001182
1162,E01001183
1163,E01001184
1164,E01001185
1165,E01001186
1166,E01001187
1167,E01001188
1168,E01001189
1169,E01001190
1170,E01001191
1171,E01001192
1172,E01001193
1173,E01001194
1174,E01001195
1175,E01001196
1176,E01001197
1177,E01001198
1178,E01001199
1179,E01001200
1180,E01001201
1181,E01001202
1182,E01001203
1183,E01001204
1184,E01001205
1185,E01001206
1186,E01001207
1187,E01001208
1188,E01001209
1189,E01001210
1190,E01001211
1191,E01001212
1192,E01001213
1193,E01001214
1194,E01001215
1195,E01001216
1196,E01001217
1197,E01001218
1198,E01001219
1199,E01001220
1200,E01001221
1201,E01001222
1202,E01001223
1203,E01001224
1204,E01001225
1205,E01001226
1206,E01001227
1207,E01001228
1208,E01001229
1209,E01001230
1210,E01001231
1211,E01001232
1212,E01001233
1213,E01001234
1214,E01001235
1215,E01001236
1216,E01001237
1217,E01001238
1218,E01001239
1219,E01001240
1220,E01001241
1221,E01001242
1222,E01001243
1223,E01001244
1224,E01001245
1225,E01001246
1226,E01001247
1227,E01001248
1228,E01001249
1229,E01001250
1230,E01001251
1231,E01001252
1232,E01001253
1233,E01001254
1234,E01001255
1235,E01001257
1236,E01001258
1237,E01001259
1238,E01001260
1239,E01001261
1240,E01001262
1241,E01001263
1242,E01001264
1243,E01001265
1244,E01001266
1245,E01001267
1246,E01001268
1247,E01001269
1248,E01001270
1249,E01001271
1250,E01001272
1251,E01001273
1252,E01001274
1253,E01001275
1254,E01001276
1255,E01001277
1256,E01001278
1257,E01001279
1258,E01001280
1259,E01001281
1260,E01001282
1261,E01001283
1262,E01001284
1263,E01001285
1264,E01001286
1265,E01001287
1266,E01001288
1267,E01001289
1268,E01001290
1269,E01001291
1270,E01001292
1271,E01001293
1272,E01001294
1273,E01001295
1274,E01001296
1275,E01001297
1276,E01001298
1277,E01001299
1278,E01001300
1279,E01001301
1280,E01001302
1281,E01001303
1282,E01001304
1283,E01001305
1284,E01001306
1285,E01001307
1286,E01001308
1287,E01001309
1288,E01001310
1289,E01001311
1290,E01001312
1291,E01001313
1292,E01001314
1293,E01001315
1294,E01001316
1295,E01001317
1296,E01001318
1297,E01001319
1298,E01001320
1299,E01001321
1300,E01001322
1301,E01001323
1302,E01001324
1303,E01001325
1304,E01001326
1305,E01001327
1306,E01001328
1307,E01001329
1308,E01001330
1309,E01001331
1310,E01001332
1311,E01001333
1312,E01001334
1313,E01001335
1314,E01001336
1315,E01001337
1316,E01001338
1317,E01001339
1318,E01001340
1319,E01001341
1320,E01001342
1321,E01001343
1322,E01001344
1323,E01001345
1324,E01001346
1325,E01001347
1326,E01001348
1327,E01001349
1328,E01001350
1329,E01001351
1330,E01001352
1331,E01001353
1332,E01001354
1333,E01001355
1334,E01001356
1335,E01001357
1336,E01001358
1337,E01001359
