,0,1,idx
525074_d,15.028889708760323,5.478831165428153,525074_d
389128_d,15.032127107601244,5.12356488660532,389128_d
586044_d,15.036056172463221,5.580532389026578,586044_d
138664_d,15.038801932585143,5.371118395308337,138664_d
438923_d,15.042545103861407,5.666178947038885,438923_d
589399_b,15.044544239546498,5.431106459142895,589399_b
129606_d,15.04606853178968,5.46529973979229,129606_d
538418_b,15.051300780664356,5.7913976674358505,538418_b
322658_d,15.058431102185317,5.35976110261388,322658_d
451510_d,15.06886205840075,5.658795073307383,451510_d
115607_b,15.076873550786578,5.762517293375278,115607_b
543587_b,15.080668299168257,5.616819413539837,543587_b
293522_d,15.088915720623366,5.647599291200945,293522_d
32188_d,15.092615674218058,5.732901386233622,32188_d
449616_b,15.096630557556644,5.7335586540573376,449616_b
240090_d,15.097609481591858,5.57286294966294,240090_d
2104_b,15.103911692899455,5.435489198271282,2104_b
358779_d,15.115642696643105,5.37673264002699,358779_d
509948_d,15.115784289546806,4.554875413291018,509948_d
305955_d,15.140358928950267,5.523281858063003,305955_d
