,lsoa,hierarchical8_x,err_x,hierarchical8_y,err_y,same
2774,E01002841,1,3.6919676100988754,1,4.3051577435521695,1
2775,E01002842,5,0.0,1,0.0,0
2776,E01002843,6,7.7203364034752715,1,4.604572466940421,0
2777,E01002844,1,3.512742677460542,1,3.1603448672198837,1
2778,E01002845,1,4.950791856904086,1,4.456353133540375,1
2779,E01002846,5,6.059507399340732,5,6.095874766849402,1
2780,E01002847,5,2.5972215468291524,5,0.0,1
2781,E01002848,5,6.0060383153877535,5,6.158542197671776,1
2782,E01002849,5,4.836745967647625,5,4.464448276974186,1
2783,E01002850,6,4.144935171863049,2,3.3227760659996375,0
2784,E01002851,5,5.021106829485253,5,4.834777894478892,1
2785,E01002852,1,2.040289665344585,1,2.9069862903251575,1
2786,E01002853,1,9.541720956950156,1,5.829641047791343,1
2787,E01002854,4,9.689050843090877,1,0.0,0
2788,E01002855,8,5.462856001361374,8,3.7331262114728063,1
2789,E01002856,5,3.257536005695465,5,3.398860611741805,1
2790,E01002857,1,3.4533361296090357,1,7.750156287792338,1
2791,E01002858,1,5.349354169944532,1,5.696726523481124,1
2792,E01002859,1,2.8641938551711195,1,2.809783173486067,1
2793,E01002860,1,2.9988822225635157,1,2.876221981757566,1
2794,E01002861,1,3.8928235540818297,1,3.3459714646906384,1
2795,E01002862,1,5.107962570191829,1,5.057934604147171,1
2796,E01002863,1,3.244376096147436,1,3.103245142742912,1
2797,E01002864,1,3.6389182508460385,6,3.762560258013997,0
2798,E01002865,5,3.852514302242055,6,3.411826534637637,0
2799,E01002866,5,3.504378902719733,5,2.995662954972138,1
2800,E01002867,5,5.418822021359766,5,5.445191908252222,1
2801,E01002868,1,4.340029942342332,1,5.2436905707864,1
2802,E01002869,6,4.8379693496502165,1,5.1972722442800166,0
2803,E01002870,1,4.387134482153134,1,3.994275835541377,1
2804,E01002871,1,3.2085130226269953,1,3.2524687878889407,1
2805,E01002872,1,3.373912658280429,1,2.8259998230714736,1
2806,E01002873,1,4.139567017182973,1,4.578242429372406,1
2807,E01002874,5,6.518504377089038,5,4.507701742573481,1
2808,E01002875,5,4.004341831099995,5,3.66682429990753,1
2809,E01002876,3,3.5631314346824143,3,3.551443973804493,1
2810,E01002877,6,4.167283243760367,1,3.5096183294172913,0
2811,E01002878,6,4.727624538579367,1,4.338944423694703,0
2812,E01002879,6,6.722756626038849,5,5.613864433825738,0
2813,E01002880,4,5.290806758616762,8,3.617508326604868,0
2814,E01002881,1,4.946318977640992,1,5.1752330586602255,1
2815,E01002882,5,4.993675185416064,5,4.957529141022715,1
2816,E01002883,1,4.016494969136484,6,3.1626002822115535,0
2817,E01002884,6,5.480635105162466,6,4.001844114218536,1
2818,E01002885,5,7.319697949494477,1,6.324122957400124,0
2819,E01002886,6,4.997117443764172,1,4.652168307926722,0
2820,E01002887,1,4.380376084725463,1,4.636595300672922,1
2821,E01002888,1,4.705564694006656,1,4.616551745941644,1
2822,E01002889,6,3.932112478549644,6,2.8706234897310168,1
2823,E01002890,5,3.285665584180131,1,3.1358936936665596,0
2824,E01002891,5,4.2065978195303835,1,3.7744761874210226,0
2825,E01002892,1,4.724651117931612,1,3.7231695837901966,1
2826,E01002893,5,4.183660388858957,5,4.337807451428421,1
2827,E01002894,5,3.5575666950880906,6,4.590313426116201,0
2828,E01002895,1,2.833932724370236,1,3.5206222067827104,1
2829,E01002896,5,5.162121861045256,5,5.2596314487886895,1
2830,E01002897,1,4.422738061050571,1,4.3640228722535985,1
2831,E01002898,5,4.0600698616913835,5,4.6849368685345985,1
2832,E01002899,1,4.366463605868757,1,4.66666652913529,1
2833,E01002900,1,2.587973279282323,1,3.0974624986365633,1
2834,E01002901,6,2.7828458191627106,1,3.0502787129472204,0
2835,E01002902,6,3.939909339870652,1,4.0231338954912985,0
2836,E01002903,1,3.56328841916555,1,3.1816981795552395,1
2837,E01002904,8,5.895458121697708,8,5.7257094179389085,1
2838,E01002905,5,4.594268471754972,1,3.987156720735522,0
2839,E01002906,3,3.224079006476113,1,2.7242421545525195,0
2840,E01002907,1,5.436356145275594,1,3.948938686490397,1
2841,E01002908,3,4.031870537386555,3,3.557621597158898,1
2842,E01002909,5,3.4207310334972267,5,3.43036239165979,1
2843,E01002910,1,3.5808961888233983,1,3.997236314969819,1
2844,E01002911,1,2.739875728523893,1,3.250690782262389,1
2845,E01002912,6,3.829681372927251,6,3.8345149791041035,1
2846,E01002913,1,2.613410590916826,5,4.331347347486253,0
2847,E01002914,1,2.3307047746211222,1,2.9193085748824656,1
2848,E01002915,4,1.7840776556208098,4,1.70431578162846,1
2849,E01002916,3,1.7511801477209785,3,1.625575355771127,1
2850,E01002917,3,1.74067154196,3,1.840413897586557,1
2851,E01002918,4,2.511736437501849,3,2.340831936618492,0
2852,E01002919,4,2.182658713723939,4,2.1707593984022115,1
2853,E01002920,3,2.3048465697667435,3,1.9474907746628467,1
2854,E01002921,3,3.3660251424567798,1,2.9746585393117426,0
2855,E01002922,3,2.217248538257898,3,1.9868737788574646,1
2856,E01002923,3,4.568398402070278,3,4.163598365146895,1
2857,E01002924,3,1.749233382196118,3,1.4788749843674263,1
