,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
1532,0,2,1,1,1,4,0,2,1,1,1,E00001584,0,2,1,2,1,2,1,1,1,1,2,-2.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1533,0,1,1,1,2,4,1,1,2,1,1,E00001585,0,1,1,1,2,2,1,1,1,1,3,-2.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
1534,0,2,1,1,2,3,1,1,1,1,1,E00001586,0,1,1,1,2,1,1,1,1,1,3,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
1535,0,1,1,0,2,1,1,2,2,1,1,E00001587,0,1,1,1,2,2,0,1,2,1,1,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1536,0,1,1,0,2,4,0,1,1,1,1,E00001588,0,0,1,0,2,4,0,1,1,0,3,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0
1537,0,1,1,0,1,5,0,1,1,2,2,E00001589,0,0,1,0,2,5,0,1,1,1,2,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0
1538,5,0,1,2,0,1,0,0,1,2,1,E00001590,5,0,1,1,1,1,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0
1539,0,1,1,0,1,3,3,2,1,1,1,E00001591,0,0,1,0,2,1,3,2,1,0,2,-2.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0
1540,0,0,1,0,1,7,1,2,1,0,1,E00001592,0,0,1,0,3,6,0,2,1,0,0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1541,0,2,1,0,1,4,1,2,1,0,1,E00001593,0,1,1,0,2,4,1,2,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0
