,Commercial,Estates,Green space,High-density,Low-density,lsoa
652,,2.04796579315017,,,,E01000686
653,,,,,,E01000687
654,,,,,,E01000688
655,,,,,,E01000690
656,,,,,-14.32279377064653,E01000691
657,,,,,,E01000692
658,,,,,,E01000694
659,,,,,,E01000695
660,,,,,-4.806497849976109,E01000696
661,,,,,,E01000697
662,,,,,,E01000698
663,,,-9.89505247376312,,,E01000699
664,,,,,,E01000700
665,,4.43037974683544,,,,E01000701
666,,,,,,E01000702
667,,,,,,E01000703
668,,,,,,E01000705
669,,,,,,E01000706
670,,,-5.353972721368261,,,E01000707
671,,,,,,E01000708
672,,,,4.51352907311456,,E01000709
673,,,,,,E01000710
674,,,,,,E01000711
675,,,,3.3036448342011497,,E01000712
676,,,,,,E01000713
677,,,,,,E01000714
678,,,,,,E01000715
679,,,,,,E01000716
680,,,,3.01833500885633,-10.238642347647076,E01000717
681,,,,,,E01000718
682,,,,,,E01000719
683,,,,,-2.3285237936198406,E01000720
684,,,,,,E01000721
685,,,,,-7.221343474456489,E01000722
686,,,,,-9.93407960199005,E01000723
687,,,,,-10.828877005347588,E01000724
688,,,,,,E01000725
689,,3.12179267875471,,,,E01000726
690,,,,,,E01000727
691,,,,,,E01000728
692,,,,,,E01000729
693,,,,,,E01000730
694,,,,,,E01000731
695,,,,,,E01000732
696,,,,,-9.042352051427489,E01000733
697,,,,,,E01000734
698,,3.678348678348681,,,,E01000735
699,,,,,,E01000736
700,,,,,,E01000737
701,,,,,-7.387895678970381,E01000738
702,,,,,,E01000739
703,,,,,,E01000741
704,,,,,,E01000742
705,,,,,,E01000743
706,,,,,,E01000744
707,,,,,,E01000746
708,,,5.739026432244941,,,E01000747
709,,,5.439846189371821,,-3.513699386564661,E01000748
710,,,,,,E01000749
711,,,,,,E01000750
712,,,,,,E01000751
713,,,,,,E01000752
714,,,,,-8.896005817856334,E01000753
715,,,,,-12.54106381491577,E01000754
716,,,,,,E01000755
717,,,,,-11.325225789144234,E01000757
718,,,,,,E01000758
719,,0.47528517110266,,,-5.635908046594739,E01000759
720,,,,,-11.549083338644241,E01000760
721,,,,,,E01000761
722,,,,,,E01000762
723,,,,,-14.764457566104682,E01000763
724,,6.106133266027258,-8.900807672892476,,-10.437910146390706,E01000764
725,,,,,,E01000765
726,,,,1.09289617486338,-11.806629549438078,E01000766
727,,,,,,E01000767
728,,,,,-13.624937154348913,E01000768
729,,,,,,E01000770
730,,,,,-15.171048525511004,E01000771
731,,,,,-9.215765948801305,E01000772
732,,0.77220077220077,,,-11.271350042536483,E01000773
733,,,,,-17.543033889187736,E01000774
734,,,,,,E01000777
735,,,,,,E01000778
736,,2.9264402489554593,,,,E01000779
737,,,,,,E01000780
738,,,,,,E01000781
739,,,,,,E01000782
740,,,,,,E01000783
741,,,,,-17.206119162640903,E01000784
742,,,,,,E01000785
743,,,,1.22807017543859,,E01000786
744,,8.96656534954407,,,-10.808566925588195,E01000787
745,,,,,,E01000788
746,,,,,,E01000789
747,,,,,,E01000790
748,,,,,-10.116550116550119,E01000791
749,,6.798478414720451,,,-12.99097664543524,E01000792
750,,,,,,E01000793
751,,,,,,E01000794
752,,4.00477633875264,,,,E01000795
753,,,,,,E01000796
754,,,,,,E01000797
755,,,,,,E01000798
756,,,,,,E01000799
757,1.4367816091954,4.475049060835439,,,,E01000800
758,,,,,,E01000801
759,,,,,,E01000802
760,,,,,,E01000803
761,,,,,-10.771228545618786,E01000804
762,,,,,,E01000805
763,,,,,,E01000806
764,,,,,-9.389068281990241,E01000807
765,,1.47058823529411,,,,E01000808
766,,,,,-14.178685897435898,E01000809
767,,,,,-9.983031674208142,E01000810
768,,,,,-12.895227265548506,E01000811
769,,3.5222611678723306,,,,E01000812
770,,,,,,E01000813
771,,,,,,E01000814
772,,,,,,E01000815
773,,2.89837973887054,,,,E01000816
774,,,,,-10.144653748583146,E01000818
775,,,,,,E01000819
776,,,9.84987745098039,,,E01000820
777,,,,,,E01000822
778,,,,,,E01000823
779,,,,,,E01000824
780,,,,,,E01000825
781,,1.0638297872340399,,,,E01000826
782,,,,,,E01000827
783,,,,,,E01000828
784,,,,,,E01000829
785,,,,,-10.091282519397524,E01000830
786,,,,0.8810572687224599,-11.671032265745914,E01000831
787,,,,0.8163265306122399,,E01000832
788,,,,,,E01000833
789,,,,,-16.220971147079517,E01000834
790,,1.71543992577702,,,-11.255218803154484,E01000835
791,,,,,-13.085706026882495,E01000837
792,,,,,-21.790271132376397,E01000838
793,,,,,,E01000839
794,,,,,,E01000840
795,,1.29870129870129,,,,E01000841
796,,,,,,E01000842
797,,,,,,E01000843
798,,,,,,E01000844
799,,,,,,E01000845
800,,,,,,E01000846
801,,,,,,E01000848
802,,,,,,E01000849
803,,,,,,E01000850
804,,,,,,E01000851
805,,,,,,E01000852
806,,3.1746031746031704,,,,E01000853
807,,2.00892857142857,,-8.606283422459892,,E01000854
808,,,,,,E01000855
809,,,,,,E01000856
810,,,,,,E01000857
811,,,,,,E01000858
812,,,,,,E01000859
813,,,,,,E01000860
814,,,,,,E01000861
815,,,,,,E01000862
816,,,-1.5625,,,E01000863
817,,,,,,E01000864
818,,7.25235849056603,-11.69979784366576,,,E01000865
819,,,,,,E01000866
820,,,-6.084318109230269,,,E01000867
821,,,,,,E01000869
822,,,-6.0106981981982,,,E01000870
823,,,7.621541767391889,,-12.8290357238786,E01000871
824,,,,,,E01000872
825,,,,,,E01000873
826,,,,,,E01000874
827,,,,,,E01000875
828,,,,,,E01000876
829,,,,,,E01000877
830,,,,,,E01000878
831,,,,,,E01000879
832,,,,,,E01000882
833,,,,,,E01000883
834,,,,,,E01000884
835,,,,,,E01000885
836,,,,,,E01000886
837,,,,,,E01000887
838,,,,,,E01000888
839,,,,,,E01000889
840,,,-13.513513513513509,,,E01000890
841,,,,,,E01000891
842,,,,,,E01000892
843,,,,,,E01000893
844,,,,,,E01000894
845,,,,,,E01000895
846,,,,,,E01000896
847,,,,,,E01000897
848,,,,,,E01000898
849,,,,,,E01000899
850,,,,,,E01000900
851,,,,,-2.5510204081632604,E01000901
852,,,,,,E01000902
853,,,,,,E01000903
854,,,,,,E01000904
855,,,,,,E01000905
856,,,,,,E01000906
857,,,,,,E01000907
858,,,,,,E01000908
859,,,,,,E01000909
860,,,,,,E01000910
861,,,,,,E01000911
862,,,,,,E01000912
863,,,,,,E01000914
864,,,2.32558139534883,,,E01000915
865,,,,,,E01000916
866,,,,,,E01000917
867,,,,,,E01000918
868,,,,,,E01000919
869,,,,,,E01000920
870,,,,,,E01000921
871,,,,,,E01000922
872,,,,,,E01000923
873,,,,,,E01000924
874,,,,,,E01000925
875,,,,,,E01000926
876,,,,,,E01000927
877,,,,,,E01000928
878,,,,,,E01000929
879,,,,,,E01000930
880,-13.00164925783397,,,,,E01000931
881,,,,,,E01000932
882,,,,,,E01000933
883,,,,,,E01000934
884,,,,,,E01000935
885,,,,,,E01000936
886,,,,,,E01000937
887,,,,,,E01000938
888,,,,,,E01000939
889,,,,,,E01000940
890,,,,,,E01000941
891,,,,,,E01000942
892,,,-4.90196078431372,,,E01000943
893,,,,,,E01000944
894,,,,,,E01000945
895,,,,,,E01000946
896,,,,,,E01000947
897,,,,,,E01000948
898,,,,,,E01000949
899,9.32203389830508,,-12.567616300036068,,,E01000950
900,,,,,,E01000951
901,,,,,,E01000952
902,,,-10.33563846187729,,,E01000953
903,,,,,,E01000954
904,,,,,,E01000955
905,9.396809571286141,,,,,E01000956
906,,,,,,E01000957
