LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E01000248,1,0,1,0,1,0,1,0,0,1,0
E01000249,0,0,0,0,1,1,1,1,0,1,0
E01000250,1,0,0,0,1,0,0,0,0,0,0
E01000251,1,1,0,0,1,0,0,0,1,1,0
E01000252,0,0,1,0,1,1,1,1,1,1,1
E01000253,0,0,0,0,0,0,1,0,0,0,0
E01000254,0,0,0,0,0,0,1,0,0,0,0
E01000255,0,0,1,0,1,0,1,1,0,0,0
E01000256,0,0,1,0,1,0,1,1,0,0,0
E01000257,0,1,0,0,0,0,1,1,0,0,0
E01000258,0,0,0,0,1,1,1,1,0,0,0
E01000259,0,0,0,0,1,0,1,0,0,0,0
E01000260,0,0,0,0,0,0,1,0,0,0,0
E01000261,0,0,0,0,1,0,1,0,0,0,0
E01000262,0,0,0,0,0,0,1,0,0,0,0
E01000263,0,0,0,0,1,1,1,1,0,0,0
E01000264,1,0,0,0,0,0,1,0,0,0,0
E01000265,0,1,0,0,1,1,0,1,1,1,0
E01000266,0,0,1,0,1,1,1,1,0,0,0
E01000267,0,0,0,0,1,1,0,1,1,0,0
E01000268,1,0,0,0,1,0,0,1,0,0,0
E01000269,0,0,0,0,1,1,0,1,0,0,0
E01000270,0,1,1,0,1,1,1,1,1,0,1
E01000271,0,0,0,0,1,0,0,1,0,0,0
E01000272,0,0,1,0,1,0,1,1,1,0,0
E01000273,0,0,1,0,1,1,1,1,0,0,0
E01000274,0,1,0,0,1,1,0,1,1,1,1
E01000275,0,1,1,0,1,1,1,1,0,0,1
E01000276,0,1,0,0,1,1,1,1,1,0,1
E01000277,0,1,1,1,1,1,1,1,1,0,1
E01000278,0,1,0,0,1,1,0,1,0,0,0
E01000279,0,0,0,0,0,0,1,0,0,0,0
E01000280,0,0,0,0,1,1,1,1,0,0,0
E01000281,1,1,0,1,0,0,1,1,1,0,0
E01000282,0,0,0,0,1,1,1,1,0,0,0
E01000283,0,1,1,0,1,1,1,1,1,0,0
E01000284,0,1,1,0,0,0,1,1,1,1,1
E01000285,0,1,1,1,1,1,1,1,1,0,1
E01000286,0,1,0,0,1,1,1,1,0,0,0
E01000287,0,1,0,0,1,1,1,1,1,0,0
E01000288,0,1,1,0,1,1,1,1,0,0,0
E01000289,0,1,1,1,1,1,1,1,1,0,1
E01000290,0,0,0,0,0,0,1,0,0,0,0
E01000291,0,1,1,1,1,1,0,1,1,0,1
E01000292,0,1,1,1,1,1,0,0,1,0,1
E01000293,0,0,0,0,1,1,0,0,0,0,0
E01000294,1,1,1,0,1,1,1,1,1,0,1
E01000295,0,0,0,0,1,1,0,0,0,1,0
E01000296,1,0,1,1,1,1,1,0,1,1,0
E01000297,1,0,1,0,1,1,1,0,1,1,1
E01000298,1,0,0,0,1,1,1,0,0,1,0
E01000299,1,0,0,1,1,1,0,0,1,1,0
E01000300,0,1,1,1,1,1,1,0,1,1,1
E01000301,0,0,0,0,1,1,1,1,1,0,0
E01000302,1,1,1,0,1,1,1,1,1,1,1
E01000303,0,0,0,0,1,1,1,1,1,0,0
E01000304,0,1,1,0,1,1,1,0,0,1,1
E01000305,1,0,0,0,0,0,1,0,0,0,0
E01000306,0,0,0,0,0,1,1,0,1,1,0
E01000307,0,0,0,0,0,0,1,0,0,0,0
E01000308,0,1,1,1,1,1,1,1,0,0,1
E01000309,0,0,0,0,0,1,1,1,0,0,0
E01000310,0,0,0,0,0,1,1,1,0,0,0
E01000311,0,0,0,0,1,1,1,1,1,0,0
E01000312,0,1,1,1,1,1,1,1,1,0,1
E01000313,1,1,1,1,0,0,1,0,0,1,0
E01000314,1,0,0,1,1,1,0,0,0,1,0
E01000315,0,1,0,0,0,1,1,1,0,0,0
E01000316,0,0,0,0,0,0,1,0,0,0,0
E01000317,1,1,1,0,1,1,0,0,0,1,1
E01000318,0,0,1,0,1,1,1,1,0,1,1
E01000319,0,0,0,0,1,1,0,0,1,1,1
E01000320,1,0,1,0,1,1,1,1,0,0,0
E01000321,1,1,0,1,1,1,0,0,0,1,1
E01000322,1,1,1,0,1,1,1,1,1,0,1
E01000323,1,1,1,1,0,1,0,0,0,1,0
E01000324,0,0,0,0,1,1,0,0,0,0,1
E01000325,0,0,0,0,1,1,0,1,0,0,0
E01000326,0,0,0,0,1,1,1,1,0,0,0
E01000327,0,0,0,0,1,1,1,1,0,0,0
E01000328,0,1,0,0,1,1,1,1,0,0,0
E01000329,0,1,0,0,0,1,1,1,0,0,0
E01000330,1,1,0,0,0,1,0,1,1,0,0
E01000331,0,0,0,0,1,0,1,0,0,0,0
E01000332,0,0,0,0,1,1,1,1,1,0,0
E01000333,1,0,0,1,0,0,1,0,1,1,0
E01000334,0,1,0,0,1,1,0,1,1,1,1
E01000335,0,0,0,0,0,0,1,0,0,0,0
E01000336,1,0,0,1,0,0,0,0,1,1,1
E01000337,0,0,0,0,1,1,1,1,1,1,1
E01000338,0,1,0,1,1,1,0,1,1,1,0
E01000339,0,0,0,0,1,1,0,1,0,0,0
E01000340,0,0,0,0,1,1,0,1,0,0,0
E01000341,0,0,0,0,1,1,0,1,1,0,0
E01000342,0,1,0,0,1,1,1,1,1,0,0
E01000343,1,0,0,0,1,1,0,1,0,0,0
E01000344,1,0,0,0,1,1,0,1,1,1,0
