,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
77,,0,1,1,1,3,1,1,1,,1,E01000081,,1,0,1,1,2,0,1,1,0,1,-1.0,-1.0,0.0,0.0,0.0,,-1.0,0.0,0.0,1.0,
78,0,1,1,1,1,2,1,1,1,0,1,E01000082,1,1,1,1,1,1,,1,1,0,1,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,1,1,1,1,1,2,1,2,1,0,1,E01000083,1,1,1,,1,1,,1,1,,1,-1.0,,-1.0,0.0,0.0,,0.0,0.0,,0.0,0.0
80,1,1,1,1,1,2,1,1,1,,1,E01000084,1,1,1,1,1,1,0,1,1,1,1,-1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
81,1,1,0,1,1,2,1,1,1,0,1,E01000085,1,1,1,1,1,2,,1,1,,1,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0
82,,1,1,1,1,2,1,1,1,0,1,E01000086,,1,1,1,1,2,0,1,1,,1,0.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
83,1,1,1,1,1,2,1,1,1,0,1,E01000087,1,1,1,0,1,1,1,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
84,,0,1,0,0,2,1,1,1,1,1,E01000088,,0,1,0,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
85,,,0,,0,3,1,1,1,1,1,E01000089,,0,0,,0,3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
86,0,,1,1,0,1,2,1,1,0,1,E01000090,1,0,0,1,0,1,1,1,1,0,1,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,1.0
87,,1,1,1,1,1,1,1,1,,1,E01000091,,1,1,1,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
88,1,1,1,1,1,1,1,1,1,1,1,E01000092,0,1,1,1,0,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0
89,,1,1,1,1,1,1,1,1,,1,E01000093,1,1,1,1,0,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,-1.0,0.0,0.0,
90,,1,1,1,1,1,2,1,1,0,1,E01000094,0,1,1,1,1,1,1,1,1,,1,0.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
91,0,0,1,0,1,1,2,1,1,0,1,E01000095,0,1,1,0,1,1,1,1,1,0,1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,1,1,1,1,0,1,1,1,1,,1,E01000096,1,1,1,1,0,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
93,,1,1,1,1,2,1,2,1,,1,E01000097,0,1,1,0,1,1,,1,1,,1,-1.0,,-1.0,0.0,0.0,,0.0,0.0,-1.0,0.0,
94,1,1,1,1,1,2,1,1,1,0,1,E01000098,1,1,1,1,1,1,0,1,1,0,1,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0,1,1,0,1,2,1,1,1,0,1,E01000099,0,1,1,1,1,1,0,1,1,0,1,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,,1,1,0,1,2,1,1,1,,1,E01000100,,1,1,1,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,
97,1,1,0,1,1,2,1,1,1,,1,E01000101,1,1,1,0,1,2,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,-1.0,0.0,0.0
98,1,1,1,1,1,2,1,1,1,0,1,E01000102,0,1,1,1,1,1,1,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
99,,1,1,1,1,2,1,1,1,1,1,E01000103,,0,1,0,1,1,1,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,
100,0,1,1,1,1,1,1,1,1,0,1,E01000104,0,1,1,1,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
101,1,1,1,1,1,1,1,1,1,,1,E01000105,1,1,1,1,1,1,0,1,1,0,1,0.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
102,1,1,1,1,1,1,1,1,1,0,1,E01000106,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,,1,0,1,1,2,1,1,1,0,1,E01000107,,1,1,0,1,2,0,1,1,0,1,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,
104,1,1,1,1,1,2,1,1,1,1,1,E01000108,1,1,,1,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
105,1,0,1,1,1,2,1,1,1,1,1,E01000109,1,1,0,1,1,2,0,1,1,1,1,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
106,1,0,0,1,1,2,1,1,1,1,1,E01000110,0,1,1,1,1,2,0,1,1,1,1,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
107,0,1,1,1,1,1,1,1,1,1,1,E01000111,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,1,1,0,1,1,1,1,1,1,1,1,E01000112,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
109,1,0,1,1,1,1,1,1,1,1,1,E01000113,1,1,1,1,0,1,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0
110,1,0,1,0,1,2,1,1,1,1,1,E01000114,1,0,1,1,1,2,0,1,1,1,1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111,,0,1,0,1,2,1,1,1,,1,E01000115,,1,1,0,1,1,1,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,
112,1,1,1,0,1,2,1,1,1,1,1,E01000116,1,0,1,1,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
113,0,0,1,0,1,2,1,1,1,,1,E01000117,,0,1,0,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
114,1,1,1,,1,2,1,1,1,0,1,E01000118,1,1,1,,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
115,,1,1,0,1,2,0,1,1,0,1,E01000119,,1,1,1,1,2,1,1,1,,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,
116,1,1,0,0,1,3,0,1,1,0,1,E01000120,1,1,1,0,1,2,0,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
117,,1,1,0,1,1,1,1,1,,1,E01000121,,1,1,1,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,
118,,1,1,,1,2,1,1,1,1,1,E01000122,,1,1,,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,
119,0,,1,0,1,1,1,1,1,1,1,E01000123,1,1,1,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
120,1,1,1,1,1,1,1,1,1,1,1,E01000124,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1,1,1,1,1,1,1,1,1,,1,E01000125,0,1,1,1,1,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-1.0
122,,1,1,1,1,1,1,1,1,,1,E01000126,,1,1,1,1,1,1,1,1,,2,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,
123,,1,1,,1,2,1,1,1,,1,E01000127,,1,1,,1,1,1,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,
124,,1,1,,1,2,1,1,1,0,1,E01000128,,1,1,,1,2,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,
125,1,1,1,1,1,1,1,1,1,0,1,E01000129,1,1,1,1,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
126,,1,1,1,1,2,1,1,1,,1,E01000130,0,1,1,1,1,1,1,1,1,,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
127,0,1,1,1,1,2,1,1,1,,1,E01000131,0,1,1,1,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
128,,1,1,,1,2,1,1,1,0,1,E01000132,,1,1,,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,
