,lsoa,hierarchical8_x,hierarchical8_y,same
1022,E01001041,9,3,0
1023,E01001042,3,10,0
1024,E01001043,2,2,1
1025,E01001044,4,4,1
1026,E01001045,5,3,0
1027,E01001046,5,5,1
1028,E01001047,3,3,1
1029,E01001048,10,12,0
1030,E01001049,5,5,1
1031,E01001050,5,5,1
1032,E01001051,5,4,0
1033,E01001052,5,4,0
1034,E01001053,3,3,1
1035,E01001054,3,5,0
1036,E01001055,3,3,1
1037,E01001056,3,3,1
1038,E01001057,5,5,1
1039,E01001058,5,4,0
1040,E01001059,4,5,0
1041,E01001060,11,11,1
1042,E01001061,4,4,1
1043,E01001062,4,4,1
1044,E01001063,3,3,1
1045,E01001064,11,11,1
1046,E01001065,5,5,1
1047,E01001066,3,3,1
1048,E01001067,3,3,1
1049,E01001068,11,11,1
1050,E01001069,4,3,0
1051,E01001070,3,3,1
1052,E01001071,9,9,1
1053,E01001072,11,11,1
1054,E01001073,3,3,1
1055,E01001074,4,4,1
1056,E01001075,4,4,1
1057,E01001076,5,4,0
1058,E01001077,9,9,1
1059,E01001078,5,4,0
1060,E01001079,5,3,0
1061,E01001080,5,5,1
