,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
4832,2,1,,1,,1,,,,1,1,E00005023,2,,,1,,1,,,,1,1,0.0,,,0.0,,0.0,,,0.0,,0.0
4833,1,1,1,1,1,1,2,1,1,,1,E00005024,1,1,1,1,0,1,2,2,1,,1,0.0,0.0,1.0,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0
4834,,,,,1,1,,,1,3,1,E00005025,,,,,,1,,1,1,2,1,0.0,,,0.0,0.0,-1.0,,,,,
4835,1,,1,0,1,1,2,1,1,,1,E00005026,1,,1,1,0,1,1,1,1,,1,0.0,-1.0,0.0,0.0,0.0,,0.0,-1.0,1.0,,0.0
4836,1,1,,1,1,1,1,1,1,1,1,E00005027,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
4837,1,1,1,1,,1,1,1,1,2,1,E00005028,1,1,,1,1,1,,1,,1,2,0.0,,0.0,1.0,,-1.0,,,0.0,0.0,0.0
4838,,1,,,,2,1,1,1,1,1,E00005029,,1,,1,1,1,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
4839,,1,1,1,,1,,1,2,,,E00005030,,1,1,1,,1,,,1,,1,0.0,,,,-1.0,,0.0,,0.0,0.0,
4840,1,1,1,1,1,1,1,1,1,1,1,E00005031,1,1,1,1,,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
4841,1,1,1,1,1,1,1,1,1,1,1,E00005032,,1,1,1,,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
4842,,,,3,,,,1,,,1,E00005033,,,,3,,1,,,,,1,,,,0.0,,,,,0.0,,
4843,,1,,1,1,1,,1,1,1,1,E00005034,,1,1,1,1,1,,1,1,,1,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,
4844,2,1,,1,1,1,1,1,1,1,1,E00005035,2,,1,1,,1,,,1,1,1,0.0,,,0.0,0.0,0.0,,,0.0,,0.0
4845,1,,1,1,,1,1,1,1,1,1,E00005036,,1,1,1,1,,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
4846,,,,,1,3,,1,1,,1,E00005039,,,,,1,3,,1,1,,1,0.0,,0.0,0.0,0.0,,,0.0,,,
4847,,,,1,1,3,,1,1,,1,E00005040,,1,,,1,3,,1,1,,1,0.0,,0.0,0.0,0.0,,,0.0,,,
4848,1,1,,1,,1,,,1,1,1,E00005041,1,1,1,1,1,2,,1,1,1,1,1.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
4849,,,,,,4,,1,1,,1,E00005042,,,,,1,4,,,,,1,0.0,,,0.0,,,,,,,
4850,,,1,1,1,2,1,1,1,,1,E00005043,,1,1,,1,2,,1,1,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,,,
4851,,,0,,1,3,,1,1,1,1,E00005044,,,1,1,1,3,,,1,1,1,0.0,,,0.0,0.0,0.0,1.0,0.0,,,
4852,1,,,1,,1,,,,3,1,E00005045,,,,1,1,1,,,,3,1,0.0,,,0.0,,0.0,,,0.0,,
4853,,,,,,1,,,1,1,1,E00005046,1,,,1,,1,,1,1,1,1,0.0,,,0.0,0.0,0.0,,,,,
4854,,,1,,1,1,2,1,1,,1,E00005047,,1,1,,1,2,1,1,1,,1,1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,,,
4855,,,,,,1,,,,3,1,E00005048,,,,,1,1,,,,4,,0.0,,,,,1.0,,,,,
4856,,1,,,,2,,,,2,1,E00005049,,,,1,,1,,,1,2,1,-1.0,,,0.0,,0.0,,,,,
4857,1,,,,,1,,,1,3,1,E00005050,1,,,1,,1,,,1,3,1,0.0,,,0.0,0.0,0.0,,,,,0.0
