"","LSOA11CD","clusters_2018_cleanup_Commercial","clusters_2018_cleanup_Estates","clusters_2018_cleanup_High.density","clusters_2018_cleanup_Low.density","clusters_2018_cleanup_Open.green.space","clusters_2018_cleanup_Other.green","clusters_2018_cleanup_Terraced","count","lsoa","hierarchical8"
"4183","E01004305",0.163934426229508,0.245901639344262,0.409836065573771,0.0163934426229508,0.0163934426229508,0.0983606557377049,0.0491803278688525,61,"E01004305",1
"4184","E01004306",0.42,0.04,0.48,0.01,0,0.03,0.02,100,"E01004306",1
"4185","E01004307",0.541935483870968,0.032258064516129,0.393548387096774,0.00645161290322581,0,0,0.0258064516129032,155,"E01004307",1
"4186","E01004308",0.0638297872340425,0.0638297872340425,0.617021276595745,0.0851063829787234,0,0.148936170212766,0.0212765957446809,47,"E01004308",2
"4187","E01004309",0.533333333333333,0.0857142857142857,0.304761904761905,0,0,0.0666666666666667,0.00952380952380952,105,"E01004309",1
"4188","E01004310",0.6875,0.03125,0.234375,0,0,0,0.046875,64,"E01004310",3
"4189","E01004311",0.127272727272727,0.0727272727272727,0.563636363636364,0.0727272727272727,0.0181818181818182,0.109090909090909,0.0363636363636364,55,"E01004311",2
"4190","E01004312",0.027027027027027,0.351351351351351,0.432432432432432,0.027027027027027,0,0.162162162162162,0,37,"E01004312",1
"4191","E01004313",0.25974025974026,0.12987012987013,0.441558441558442,0.012987012987013,0.051948051948052,0.038961038961039,0.0649350649350649,77,"E01004313",1
"4192","E01004314",0.12037037037037,0.0925925925925926,0.527777777777778,0.0462962962962963,0.0462962962962963,0.0648148148148148,0.101851851851852,108,"E01004314",2
"4193","E01004315",0.107692307692308,0.246153846153846,0.415384615384615,0.138461538461538,0.0153846153846154,0.0307692307692308,0.0461538461538462,65,"E01004315",1
"4194","E01004316",0.111111111111111,0.222222222222222,0.638888888888889,0,0,0,0.0277777777777778,36,"E01004316",2
"4195","E01004317",0.402366863905325,0.0532544378698225,0.473372781065089,0.0177514792899408,0.0236686390532544,0.029585798816568,0,169,"E01004317",1
"4196","E01004318",0.275,0.2,0.45,0,0,0.075,0,40,"E01004318",1
"4197","E01004319",0.260869565217391,0.130434782608696,0.5,0.0217391304347826,0,0.0869565217391304,0,46,"E01004319",1
"4198","E01004321",0.475728155339806,0.00970873786407767,0.41747572815534,0.0679611650485437,0,0,0.029126213592233,103,"E01004321",1
"4199","E01004322",0.333333333333333,0.126984126984127,0.349206349206349,0.126984126984127,0,0.0476190476190476,0.0158730158730159,63,"E01004322",1
"4200","E01004323",0.108695652173913,0.173913043478261,0.478260869565217,0.130434782608696,0,0.0869565217391304,0.0217391304347826,46,"E01004323",1
"4201","E01004324",0,0.347826086956522,0.434782608695652,0,0,0.0869565217391304,0.130434782608696,23,"E01004324",1
"4202","E01004325",0.526315789473684,0.0350877192982456,0.43859649122807,0,0,0,0,114,"E01004325",1
"4203","E01004326",0.327272727272727,0.0909090909090909,0.472727272727273,0.0363636363636364,0.0363636363636364,0.0181818181818182,0.0181818181818182,55,"E01004326",1
"4204","E01004327",0,0.0588235294117647,0.0980392156862745,0.235294117647059,0,0.0392156862745098,0.568627450980392,51,"E01004327",6
"4205","E01004328",0.12962962962963,0.0648148148148148,0.0925925925925926,0.0277777777777778,0,0.0185185185185185,0.666666666666667,108,"E01004328",6
"4206","E01004329",0.00819672131147541,0.00819672131147541,0.0573770491803279,0.0573770491803279,0.00819672131147541,0.0327868852459016,0.827868852459016,122,"E01004329",6
"4207","E01004330",0,0.00952380952380952,0.0285714285714286,0.0380952380952381,0,0,0.923809523809524,105,"E01004330",6
"4208","E01004331",0.0230769230769231,0.0384615384615385,0.107692307692308,0.0461538461538462,0.0384615384615385,0.0307692307692308,0.715384615384615,130,"E01004331",6
"4209","E01004332",0.0825688073394495,0.036697247706422,0.110091743119266,0.284403669724771,0,0.018348623853211,0.467889908256881,109,"E01004332",6
"4210","E01004333",0.155555555555556,0.0666666666666667,0.0888888888888889,0.155555555555556,0,0,0.533333333333333,45,"E01004333",6
"4211","E01004334",0.178571428571429,0.357142857142857,0.0595238095238095,0.178571428571429,0,0.142857142857143,0.0833333333333333,84,"E01004334",1
"4212","E01004335",0.159574468085106,0.0531914893617021,0.138297872340426,0.382978723404255,0.0319148936170213,0.074468085106383,0.159574468085106,94,"E01004335",6
"4213","E01004336",0.120300751879699,0.0150375939849624,0.0225563909774436,0.0676691729323308,0.105263157894737,0.150375939849624,0.518796992481203,133,"E01004336",6
"4214","E01004337",0.0185185185185185,0.148148148148148,0.037037037037037,0.175925925925926,0,0.0833333333333333,0.537037037037037,108,"E01004337",6
"4215","E01004338",0,0,0.02,0.03,0,0,0.95,100,"E01004338",6
"4216","E01004339",0.0461538461538462,0.0153846153846154,0.0769230769230769,0,0,0,0.861538461538462,65,"E01004339",6
"4217","E01004340",0.016,0.048,0.216,0.16,0.184,0.128,0.248,125,"E01004340",1
"4218","E01004341",0.0408163265306122,0.0714285714285714,0.13265306122449,0.275510204081633,0,0.102040816326531,0.377551020408163,98,"E01004341",6
"4219","E01004342",0.0316455696202532,0.0506329113924051,0.0253164556962025,0.316455696202532,0.0443037974683544,0.107594936708861,0.424050632911392,158,"E01004342",6
"4220","E01004343",0,0.00847457627118644,0.00847457627118644,0.279661016949153,0.076271186440678,0.23728813559322,0.389830508474576,118,"E01004343",6
"4221","E01004344",0.0256410256410256,0.0358974358974359,0.0307692307692308,0.220512820512821,0.107692307692308,0.323076923076923,0.256410256410256,195,"E01004344",5
"4222","E01004345",0,0.0072992700729927,0.0145985401459854,0.240875912408759,0,0.0437956204379562,0.693430656934307,137,"E01004345",6
"4223","E01004346",0.00636942675159236,0.171974522292994,0.133757961783439,0.45859872611465,0,0.114649681528662,0.114649681528662,157,"E01004346",4
"4224","E01004347",0.0353982300884956,0.0530973451327434,0.0442477876106195,0.194690265486726,0,0.0176991150442478,0.654867256637168,113,"E01004347",6
"4225","E01004348",0.049079754601227,0.110429447852761,0.0613496932515337,0.128834355828221,0,0.147239263803681,0.503067484662577,163,"E01004348",6
"4226","E01004349",0,0.0341880341880342,0,0.401709401709402,0.307692307692308,0.256410256410256,0,234,"E01004349",1
"4227","E01004350",0.0142857142857143,0.0380952380952381,0.0428571428571429,0.49047619047619,0.104761904761905,0.30952380952381,0,210,"E01004350",4
"4228","E01004351",0,0.00416666666666667,0.00416666666666667,0.7,0.120833333333333,0.145833333333333,0.025,240,"E01004351",4
"4229","E01004352",0.0236486486486486,0.027027027027027,0.0337837837837838,0.337837837837838,0.398648648648649,0.14527027027027,0.0337837837837838,296,"E01004352",1
"4230","E01004353",0,0.0165016501650165,0.0165016501650165,0.594059405940594,0.188118811881188,0.174917491749175,0.0099009900990099,303,"E01004353",4
"4231","E01004354",0.128,0.02,0.048,0.48,0.048,0.096,0.18,250,"E01004354",4
"4232","E01004355",0,0.0569620253164557,0.0253164556962025,0.727848101265823,0.00632911392405063,0.158227848101266,0.0253164556962025,158,"E01004355",4
"4233","E01004356",0.00743494423791822,0.0260223048327138,0,0.58364312267658,0.163568773234201,0.219330855018587,0,269,"E01004356",4
"4234","E01004357",0,0.00796812749003984,0.0119521912350598,0.653386454183267,0.143426294820717,0.183266932270916,0,251,"E01004357",4
"4235","E01004358",0,0.0735294117647059,0.0441176470588235,0.610294117647059,0,0.227941176470588,0.0441176470588235,136,"E01004358",4
"4236","E01004359",0.00578034682080925,0.0346820809248555,0.0115606936416185,0.635838150289017,0.104046242774566,0.0982658959537572,0.109826589595376,173,"E01004359",4
"4237","E01004360",0,0.0141509433962264,0.00471698113207547,0.726415094339623,0.0283018867924528,0.226415094339623,0,212,"E01004360",4
"4238","E01004361",0,0,0,0.718232044198895,0.0441988950276243,0.215469613259669,0.0220994475138122,181,"E01004361",4
