OA11CD,Commercial,Estates,Fences,High-density,Leafy green residential,Low-density,Open green space,Other green,Sheds,Terraced,Vehicles
E00000168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
E00000169,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
E00000170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
E00000171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
E00000172,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
E00000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000174,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000176,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
E00000177,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
E00000178,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
E00000179,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
E00000180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000181,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000182,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0
E00000183,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
E00000184,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000185,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000186,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000187,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
E00000188,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000190,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0
E00000191,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0
E00000192,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0
E00000193,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
E00000194,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
E00000195,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E00000196,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
E00000197,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E00000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000200,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0
E00000201,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
E00000202,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
E00000203,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
E00000204,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0
E00000205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E00000206,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0
E00000207,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0
E00000208,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0
E00000209,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
E00000210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000211,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0
E00000212,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
E00000213,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
E00000214,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000215,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
E00000216,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000217,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
E00000218,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E00000219,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0
E00000220,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
E00000221,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0
E00000222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E00000223,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
E00000224,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
E00000225,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
E00000226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
E00000229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
E00000230,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000231,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
E00000232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000234,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E00000235,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
E00000236,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
E00000237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000238,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
E00000239,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0
E00000240,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000241,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
E00000242,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0
E00000243,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000244,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E00000245,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
E00000246,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
E00000247,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
E00000248,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
E00000249,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0
E00000250,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
E00000251,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
E00000252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
E00000253,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
E00000254,,,,,,,,,,,
E00000255,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0
E00000256,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0
E00000257,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0
E00000258,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
E00000259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
E00000260,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
E00000261,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
E00000263,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000264,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0
E00000265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
E00000266,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
E00000267,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0
E00000268,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
E00000269,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
E00000270,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000271,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0
E00000272,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
E00000273,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0
E00000274,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0
E00000275,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000276,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E00000277,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0
E00000278,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0
E00000279,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
E00000280,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000282,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0
E00000283,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
E00000284,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
E00000285,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0
E00000286,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
E00000287,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000288,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0
E00000289,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0
