,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
2337,0,1,1,1,1,1,7,1,1,1,1,E01002391,1,1,1,1,1,1,7,2,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2338,0,2,1,1,1,2,2,2,2,0,1,E01002392,0,2,1,1,1,1,2,3,1,0,2,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2339,1,2,1,1,1,3,2,2,1,0,1,E01002393,1,1,1,1,1,2,2,3,1,0,2,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
2340,0,1,1,1,1,5,1,2,1,0,1,E01002394,0,1,1,1,1,3,0,2,1,1,2,-2.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2341,0,1,1,1,1,5,1,2,1,1,2,E01002395,0,1,1,1,1,4,1,2,2,0,2,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2342,1,1,1,1,1,3,3,2,1,1,1,E01002396,1,1,1,1,1,2,3,2,1,0,1,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2343,1,1,1,1,1,4,1,2,1,1,1,E01002397,1,1,1,1,1,4,1,2,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2344,0,1,1,1,1,5,1,2,2,1,1,E01002398,0,1,1,1,1,4,1,2,1,1,2,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2345,0,1,1,1,1,6,1,2,1,1,1,E01002399,0,1,1,0,1,4,1,2,1,1,3,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2346,1,1,1,1,1,3,3,2,1,1,1,E01002400,1,1,1,1,1,2,3,2,1,1,2,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2347,1,1,1,1,1,2,2,2,2,2,1,E01002401,1,1,1,1,1,2,1,2,2,1,2,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2348,0,1,1,0,1,5,2,2,1,1,1,E01002402,0,1,1,1,1,4,2,2,1,0,2,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
2349,1,1,1,0,1,6,1,2,1,1,1,E01002403,0,1,1,1,1,4,1,2,1,1,2,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
