,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
103,371332_b,4,0.2691278023121417,Low-density,371332,E00016907,E00016907,E01003336,401917,-0.042884571985662,51.4613884329996,rszs8RP5pPTr-XzjgZHhTQ,51.4613900369209,-0.0428479082281886,7,2021,133.069412558833,E4A83A37-E6C6-4CC4-9678-D6691EF1F4B1,371332,371332_b,,b
105,371286_b,13,0.2778014609925061,Estates,371286,E00016907,E00016907,E01003336,401867,-0.0402800267821973,51.4600510113937,BEJCysOo08SIit54jyjHeg,51.460030875739,-0.0402681327364486,3,2019,222.713082052591,49D74268-E54D-44C8-BC60-E7D0A115407A,371286,371286_b,,b
108,371301_b,8,0.068733785619801,Low-density,371301,E00016907,E00016907,E01003336,401882,-0.0424526690245415,51.461112124844206,C0fxVeQRWwNf5jz_BuMfOg,51.4611196292949,-0.0424324985686959,9,2020,135.395137042507,270E3E8B-9673-4919-BA99-47562F17E633,371301,371301_b,,b
109,371284_b,8,0.0883650078715729,Low-density,371284,E00016907,E00016907,E01003336,401865,-0.0400761698113079,51.4603821268758,lht27OfO7aSjlDh0m_6EbQ,51.4603693808961,-0.040056491398203,3,2019,222.273689003076,49D74268-E54D-44C8-BC60-E7D0A115407A,371284,371284_b,,b
111,371317_b,13,0.2690771342325145,Estates,371317,E00016907,E00016907,E01003336,401899,-0.0413234502535537,51.4612752699401,N6FyF-tZdLzJ1gtvZCUhlA,51.4612289746606,-0.0412154105257104,5,2018,135.806929455102,28E7A4AD-0D4A-423B-8AB9-F880B41B6318,371317,371317_b,,b
113,371275_b,6,0.2482589247228147,Other green,371275,E00016907,E00016907,E01003336,401856,-0.0415631943972127,51.4605174141523,F5E0SiBz_SBHYZhdZKoNZw,51.4605364120984,-0.0416197089966657,4,2021,135.607353004934,270E3E8B-9673-4919-BA99-47562F17E633,371275,371275_b,,b
115,371309_b,4,0.254243209080233,Low-density,371309,E00016907,E00016907,E01003336,401890,-0.0414672415609121,51.4605768178185,yBxbY6Xd7CIs5oGSytL9TQ,51.4605608277738,-0.0414700962275694,5,2018,223.351655495221,64E8294D-6C3F-4B2B-899A-B782A4135352,371309,371309_b,,b
117,371302_b,13,0.4712596163969237,Estates,371302,E00016907,E00016907,E01003336,401883,-0.0422561112020629,51.460980792662,XkqQPJro610VtJVh4hSB7A,51.4609928395418,-0.0422265988001708,9,2020,135.395137042507,270E3E8B-9673-4919-BA99-47562F17E633,371302,371302_b,,b
120,371287_b,9,0.1608145673951353,Low-density,371287,E00016907,E00016907,E01003336,401868,-0.0405145829715566,51.4599840678888,60YKDFfYjmdYSeEvMWTY1A,51.4599701998178,-0.0405299641770209,3,2019,276.581944655178,49D74268-E54D-44C8-BC60-E7D0A115407A,371287,371287_b,,b
124,371331_b,4,0.1717685614386227,Low-density,371331,E00016907,E00016907,E01003336,401916,-0.0430895030956623,51.46151467325629,FHWAKN6h9Ec4bwRbZKWDyQ,51.4615170722082,-0.0430389760495719,7,2021,133.069412558833,E4A83A37-E6C6-4CC4-9678-D6691EF1F4B1,371331,371331_b,,b
125,371303_b,10,0.2125675708398565,High-density,371303,E00016907,E00016907,E01003336,401884,-0.0420595545070877,51.4608494601594,mZmjEYau1Pi0cUi1bbCWmQ,51.46086884854,-0.0420376916219447,4,2021,135.395137042507,270E3E8B-9673-4919-BA99-47562F17E633,371303,371303_b,,b
127,371277_b,11,0.1777045480792588,Open green space,371277,E00016907,E00016907,E01003336,401858,-0.0419363416690107,51.4602437465351,__f3tXuhLP9zNmXTecTSQQ,51.4602506720405,-0.0419541590541728,8,2020,219.598407502194,3C95F32D-E4C5-43AA-BFD2-9AF18A918EF1,371277,371277_b,,b
128,371291_b,4,0.1060117272475301,Low-density,371291,E00016907,E00016907,E01003336,401872,-0.0413854494391432,51.4604106260759,3RNvU4GsTSt9buRkl5m0pg,51.4604336812217,-0.0413655828310869,3,2019,309.522631271063,49D74268-E54D-44C8-BC60-E7D0A115407A,371291,371291_b,,b
129,371300_b,4,0.1765582980700729,Low-density,371300,E00016907,E00016907,E01003336,401881,-0.0426492279745385,51.461243456706,deuokvoo0ka1DXe48UOrmg,51.4612518740072,-0.042623390152809,7,2021,135.395137042507,270E3E8B-9673-4919-BA99-47562F17E633,371300,371300_b,,b
132,663586_b,10,0.2984810450010732,High-density,663586,E00015189,E00015189,E01003015,717449,-0.116009519165766,51.4941691782103,2GufakeF_CGyCQewD48YxA,51.4941845127185,-0.116013786567371,4,2019,117.582029207797,A03E43FE-9CEE-4B2B-88A6-52CC30449A37,663586,663586_b,,b
138,663585_b,10,0.4452435036759641,High-density,663585,E00015189,E00015189,E01003015,717448,-0.1157577439870219,51.4940818586629,bNnMK-Iv-qOuzU2u7zN0dg,51.49410633945661,-0.115765691332536,4,2019,117.582029207797,A03E43FE-9CEE-4B2B-88A6-52CC30449A37,663585,663585_b,,b
143,663430_b,15,0.2786985906195286,Commercial,663430,E00015189,E00015189,E01003015,717277,-0.1157636286737719,51.49518100153811,6U0xr-5foS6goRDOQ6WRJA,51.495172053768,-0.1157547817303719,11,2020,200.460849827159,9025ACD0-2843-4FED-998E-6855C5B5502F,663430,663430_b,,b
144,663370_b,10,0.2928059877148198,High-density,663370,E00015189,E00015189,E01003015,717214,-0.11620579124059,51.4942372478152,WYWOx0ThxYbbNB8889qGjA,51.494237993433714,-0.116176800074655,5,2021,117.582029207797,A03E43FE-9CEE-4B2B-88A6-52CC30449A37,663370,663370_b,,b
146,663582_b,6,0.2133976774513699,Other green,663582,E00015189,E00015189,E01003015,717444,-0.11497176693333,51.494118499909895,RtSfxX-yaGFXoD0ng5SO6w,51.4941314405525,-0.1149439664213069,11,2020,127.564653693348,20629EAB-945E-4AAF-9BDC-969E71BC360A,663582,663582_b,,b
150,662758_b,13,0.2225267775183826,Estates,662758,E00015189,E00015189,E01003015,716546,-0.114042530988389,51.49433918540689,jdz-tQn-V-d6zhelN01unA,51.4945178918163,-0.114394803412288,8,2020,222.157862116344,1C67E07B-E0A4-425C-B8D4-21CDBC9086DD,662758,662758_b,,b
151,663415_b,4,0.0280174125691424,Low-density,663415,E00015189,E00015189,E01003015,717261,-0.1154739609237699,51.4947752047642,E_8Q9Nw_XALJ0tHzhCFd3Q,51.4948008429504,-0.115474092070245,11,2020,166.84760942348302,5F791D66-273D-499D-B119-F519247512FC,663415,663415_b,,b
152,663418_b,4,0.001,Low-density,663418,E00015189,E00015189,E01003015,717265,-0.115714737036499,51.49487387780721,VjTtrsH2fiuhRotaAubz8g,51.49489129868711,-0.115708885080506,11,2020,121.809051592282,5A669747-6F6C-4E57-A4CF-35879B66A464,663418,663418_b,,b
158,781040_b,4,0.1302688199696939,Low-density,781040,E00020381,E00020381,E01004050,844288,-0.0857381062523888,51.46824745599179,FkpZPNL_NdsRjqHfZX3n1g,51.468247913562,-0.085748483710552,9,2020,243.642815184869,9E10C1DE-6CA0-4170-AFC5-D62B539A2036,781040,781040_b,,b
