,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx,oa_name_x,OA11CD,LSOA11CD,panoid,lat,lon,oa_name_y
137,754249_b,13,3,,754249,E00171483,E00171483,E01004392,zODYsYNCucvXMwXkyGks8w,51.5813846597165,-0.0320653763258334,E00171483
138,753720_b,13,3,,753720,E00171483,E00171483,E01004392,Txw21iQe_QIv-2dMPQ7XJA,51.5814801017203,-0.0318425069945716,E00171483
139,753720_d,12,17,,753720,E00171483,E00171483,E01004392,Txw21iQe_QIv-2dMPQ7XJA,51.5814801017203,-0.0318425069945716,E00171483
140,753778_d,8,12,,753778,E00171483,E00171483,E01004392,i1d_nZWGTG_aBmndNSCVKw,51.5824472551165,-0.0312319287766886,E00171483
141,753778_b,13,3,,753778,E00171483,E00171483,E01004392,i1d_nZWGTG_aBmndNSCVKw,51.5824472551165,-0.0312319287766886,E00171483
142,753721_d,13,3,,753721,E00171483,E00171483,E01004392,_ZIVIWJQB_S2PHKUQ12cPA,51.5815984715027,-0.0320429111303934,E00171483
143,753721_b,12,17,,753721,E00171483,E00171483,E01004392,_ZIVIWJQB_S2PHKUQ12cPA,51.5815984715027,-0.0320429111303934,E00171483
144,753744_d,4,19,,753744,E00171483,E00171483,E01004392,BJpS_AzisDeQCmBfHp97bA,51.5820188983462,-0.0281196141405917,E00171483
145,753744_b,2,7,,753744,E00171483,E00171483,E01004392,BJpS_AzisDeQCmBfHp97bA,51.5820188983462,-0.0281196141405917,E00171483
146,753078_d,13,3,,753078,E00171483,E00171483,E01004392,068shreSZML4n6gl9e0oOQ,51.5834571012716,-0.0285131605642625,E00171483
147,753078_b,14,6,Green space,753078,E00171483,E00171483,E01004392,068shreSZML4n6gl9e0oOQ,51.5834571012716,-0.0285131605642625,E00171483
148,753747_d,13,3,,753747,E00171483,E00171483,E01004392,BlaWHJumOi-IvkRnU7Iz2w,51.5815755361635,-0.0319438723353145,E00171483
149,753747_b,10,15,Commercial,753747,E00171483,E00171483,E01004392,BlaWHJumOi-IvkRnU7Iz2w,51.5815755361635,-0.0319438723353145,E00171483
150,753722_b,11,4,Low-density,753722,E00171483,E00171483,E01004392,_SY3r1-n6Ki1cVmLR37dDg,51.5821111265347,-0.0282155719636781,E00171483
151,753722_d,14,6,Green space,753722,E00171483,E00171483,E01004392,_SY3r1-n6Ki1cVmLR37dDg,51.5821111265347,-0.0282155719636781,E00171483
152,753842_d,13,3,,753842,E00171483,E00171483,E01004392,ChK7bX6NxWM7n5PS6aE4Pg,51.5833860687596,-0.0284138968045635,E00171483
153,753842_b,5,5,,753842,E00171483,E00171483,E01004392,ChK7bX6NxWM7n5PS6aE4Pg,51.5833860687596,-0.0284138968045635,E00171483
154,753790_d,12,17,,753790,E00171483,E00171483,E01004392,rmoFq_MT6UbrsYOX67j6QA,51.5822451443041,-0.0274670116792315,E00171483
155,753790_b,7,10,High-density,753790,E00171483,E00171483,E01004392,rmoFq_MT6UbrsYOX67j6QA,51.5822451443041,-0.0274670116792315,E00171483
156,753840_b,10,15,Commercial,753840,E00171483,E00171483,E01004392,FazeGgsILExceBZMa-X64w,51.5830381505032,-0.0281773724960204,E00171483
157,753840_d,12,17,,753840,E00171483,E00171483,E01004392,FazeGgsILExceBZMa-X64w,51.5830381505032,-0.0281773724960204,E00171483
158,753073_d,18,0,High-density,753073,E00171483,E00171483,E01004392,qBKtd9EDJO_Y3T7y88cZ1w,51.5837984826,-0.0285634200879136,E00171483
159,753073_b,19,13,Estates,753073,E00171483,E00171483,E01004392,qBKtd9EDJO_Y3T7y88cZ1w,51.5837984826,-0.0285634200879136,E00171483
160,753817_b,7,10,High-density,753817,E00171483,E00171483,E01004392,IZu4lwUkIMMazstxuYSX2A,51.5824823800256,-0.0282176529712128,E00171483
