,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
128,623514_d,13,0.3048905076807129,Estates,623514,E00019815,E00019815,E01003940,855210,-0.0859554597518104,51.4989794364089,Djv88nFv4s775UE8ABdDug,51.4990240188282,-0.0859444628952626,6,2012,199.021938755681,E238939B-5038-4C18-8C1B-8BB8138931E8,623514,623514_d,d
129,617549_d,10,0.1019799010551548,High-density,617549,E00019815,E00019815,E01003940,846840,-0.0853330768069936,51.4990122999128,mCeAj45eBRpQfWacgiEBUw,51.49899995840139,-0.0852624664366805,6,2008,124.045666486578,CCC5DE3E-AA0C-491F-AC2B-BF29D65A6228,617549,617549_d,d
130,623713_d,6,0.3166279867212754,Other green,623713,E00019815,E00019815,E01003940,855491,-0.0859866095733273,51.4970704766257,4sbCjSQ4mcLfB3QmOb5_uA,51.497341259801104,-0.085878084426372,9,2009,200.15912379245,4EC21291-C31C-40E8-9EE8-0DAA8D62E5A4,623713,623713_d,d
132,623722_d,13,0.5506741975601539,Estates,623722,E00019815,E00019815,E01003940,855503,-0.0862820106123272,51.4974998712711,g4BY_OOgu2jYcOLV2Q5ykQ,51.497483644969215,-0.0863546696218195,6,2012,226.605043465833,625308FF-A7CA-4B3F-A471-5FFE2972363A,623722,623722_d,d
133,623513_d,13,0.2077742422223184,Estates,623513,E00019815,E00019815,E01003940,855209,-0.0860564316127176,51.4988110535945,d07zJyKB7_x3LtKSiCE9Xw,51.4988730175389,-0.0860357586525155,9,2009,199.021938755654,E238939B-5038-4C18-8C1B-8BB8138931E8,623513,623513_d,d
135,623503_d,13,0.2766952589927955,Estates,623503,E00019815,E00019815,E01003940,855195,-0.0866675431609851,51.4984026915313,F_hJGAIZESYGQiJ60z3tSA,51.4981838490295,-0.086527071834962,9,2009,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,623503,623503_d,d
137,623517_d,13,0.3874364023475913,Estates,623517,E00019815,E00019815,E01003940,855214,-0.086851581179916,51.49884820891621,I1oGHJ5dgSUxszjurAjkTQ,51.49885607928911,-0.0867779604424851,9,2009,125.087664092376,5C497036-E251-474F-95C4-FE8A9125DBCE,623517,623517_d,d
140,629407_d,10,0.0714775266524246,High-density,629407,E00015376,E00015376,E01003051,862980,-0.103507699051197,51.464115946637705,tAj8kJ2BnvN01SvwEW0olQ,51.4639444218695,-0.103538292405006,5,2012,185.31307731296903,469A14B3-D60A-4181-A1E7-B867F86B6365,629407,629407_d,d
143,629411_d,13,0.375013355992101,Estates,629411,E00015376,E00015376,E01003051,862984,-0.103692381955664,51.463406961238,y8FuHEU4d1ZWnLpovA6tlw,51.463468465702896,-0.103622796159062,5,2012,190.96493913348,469A14B3-D60A-4181-A1E7-B867F86B6365,629411,629411_d,d
145,629420_d,13,0.3417820055823254,Estates,629420,E00015376,E00015376,E01003051,862993,-0.10439000749938,51.4618553117871,_1I7-fnnsVF3Ua_vKDXOBw,51.4618499322444,-0.104385043242179,6,2008,202.276263355833,469A14B3-D60A-4181-A1E7-B867F86B6365,629420,629420_d,d
152,629415_d,13,0.3260797672067594,Estates,629415,E00015376,E00015376,E01003051,862988,-0.103940554888941,51.4627046993853,mIueNqnS8T19l0lSNx3Stw,51.4626860142225,-0.1038835108556769,6,2008,190.93209714739496,469A14B3-D60A-4181-A1E7-B867F86B6365,629415,629415_d,d
154,635930_d,10,0.132986155863033,High-density,635930,E00015597,E00015597,E01003093,871999,-0.122557306508293,51.470269590956,Ej4msF-NvRDz4G-GvwxT4A,51.47026381527312,-0.12256206572037,5,2012,241.31385242626095,8A6C5DF3-EA18-44B6-AFBD-947B44784B23,635930,635930_d,d
156,635508_d,10,0.1555249416479953,High-density,635508,E00015597,E00015597,E01003093,871434,-0.122211040231827,51.4702646990412,8j9YcOz1poGyTVwigE4LsQ,51.4702719747249,-0.122196352804508,10,2009,145.62544975212,09F7A318-3761-441C-B1D6-E40DEC338C20,635508,635508_d,d
157,635515_d,10,0.2372276023018067,High-density,635515,E00015597,E00015597,E01003093,871443,-0.121726110219082,51.470548387993794,sxK89r-8mV9OSGyGnwNDrQ,51.47057556763829,-0.121670714069444,5,2012,240.385733828667,E0A6A6B0-E76F-4D42-AA8A-D40DBB1969D6,635515,635515_d,d
159,635513_d,10,0.4937920441153911,High-density,635513,E00015597,E00015597,E01003093,871440,-0.121821794995251,51.470271666825,Vbv_xJt8N8FdAeeXQa-UiQ,51.470266662178496,-0.121777874252357,5,2012,151.288774030033,26AD50B6-868F-41B8-8135-F7352006B156,635513,635513_d,d
160,635933_d,13,0.2501048110798679,Estates,635933,E00015597,E00015597,E01003093,872003,-0.122599482977388,51.4693680629443,VKduEaFxRP_0uOr5qbtivA,51.469334545028886,-0.122512841875167,5,2012,142.772355712539,39EB7FFD-5CEA-4E59-B8EB-487FAB40569F,635933,635933_d,d
161,635938_d,10,0.3010468557437924,High-density,635938,E00015597,E00015597,E01003093,872009,-0.122281481948672,51.46970660905729,xwKkA8PEUUU2KjvIw5T8YQ,51.469685335662405,-0.122295285326217,10,2009,236.140585835582,EFB40591-AC82-4BB2-B0BA-740F66D44129,635938,635938_d,d
163,635931_d,10,0.2894701542526486,High-density,635931,E00015597,E00015597,E01003093,872000,-0.122813307260028,51.4701873590838,rgGFvOCcsd7IUE6naQBwcQ,51.4702171806378,-0.122697786000989,5,2012,241.31385242626095,8A6C5DF3-EA18-44B6-AFBD-947B44784B23,635931,635931_d,d
164,635528_d,13,0.3867664946343054,Estates,635528,E00015597,E00015597,E01003093,871466,-0.121574916221514,51.4697743067143,DKg832hX0IdBXT6a89u7kA,51.4697936377831,-0.121559710030804,5,2012,142.784858108405,CE108513-1977-43B0-AF88-55616C501234,635528,635528_d,d
166,635937_d,10,0.4847330317888891,High-density,635937,E00015597,E00015597,E01003093,872008,-0.122524569388085,51.4696103001098,VQloc5_SN3exYQ4KLT8Nbg,51.469633459341495,-0.1224316963033,5,2012,236.140585835582,EFB40591-AC82-4BB2-B0BA-740F66D44129,635937,635937_d,d
169,635939_d,15,0.1181879822418716,Commercial,635939,E00015597,E00015597,E01003093,872010,-0.122038374017838,51.469802898311904,Qi7CndIuJba6NXj3se2QAQ,51.4697700559876,-0.12206725889477,10,2009,236.14930675135895,EFB40591-AC82-4BB2-B0BA-740F66D44129,635939,635939_d,d
174,635716_d,10,0.1975602020367741,High-density,635716,E00015598,E00015598,E01003093,871692,-0.122287639319365,51.47084093932701,XumFyvXBfExVPFIxBox8uw,51.4709264887912,-0.122217942059648,10,2009,201.387048811281,87A20E71-F52D-4D6B-9C5C-B348E84B23E7,635716,635716_d,d
175,635894_d,10,0.3190939610662855,High-density,635894,E00015598,E00015598,E01003093,871957,-0.123815296888393,51.4695187725274,U5004cro5Onqunh71shs4Q,51.469580805226,-0.123811386837861,7,2008,158.428692808745,C72120CF-5874-4B9D-BADA-070F514E3DD0,635894,635894_d,d
