,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
142,629418_b,1,0.2235861701539671,Open green space,629418,E00015376,E00015376,E01003051,862991,-0.104158047481248,51.4621844102009,CZ3amtLdtyTKxilTMbe0Pw,51.46219245090701,-0.104114786250575,6,2008,202.280321421523,469A14B3-D60A-4181-A1E7-B867F86B6365,629418,629418_b,b
144,629420_b,1,0.001,Open green space,629420,E00015376,E00015376,E01003051,862993,-0.10439000749938,51.4618553117871,_1I7-fnnsVF3Ua_vKDXOBw,51.4618499322444,-0.104385043242179,6,2008,202.276263355833,469A14B3-D60A-4181-A1E7-B867F86B6365,629420,629420_b,b
146,629412_b,13,0.4135214734783323,Estates,629412,E00015376,E00015376,E01003051,862985,-0.103754425928813,51.463231395838896,LmeqWLn0C7PCMAYr4sXfWg,51.4632238670855,-0.103705828452893,6,2008,190.96493913348,469A14B3-D60A-4181-A1E7-B867F86B6365,629412,629412_b,b
147,629612_b,13,0.3531981015367,Estates,629612,E00015376,E00015376,E01003051,863271,-0.106016889605131,51.46072635842749,JkEAjKDk-n7Nvoc25Vgcfg,51.4605380846176,-0.105299795622088,6,2008,201.866258437658,1C0BC20A-E897-4579-899E-EEBB21C7D855,629612,629612_b,b
148,629413_b,13,0.1843833082874264,Estates,629413,E00015376,E00015376,E01003051,862986,-0.103816469408739,51.4630558303971,Pfo8lWg4idSir7iqNuICpQ,51.463026837775296,-0.103766523490688,6,2008,190.93209714739496,469A14B3-D60A-4181-A1E7-B867F86B6365,629413,629413_b,b
149,629421_b,6,0.4454184519341934,Other green,629421,E00015376,E00015376,E01003051,862994,-0.104505973294982,51.4616907588293,uiPEXMzsw3qDaC4sTPepIA,51.4616871520053,-0.104492633686852,5,2012,202.276263355833,469A14B3-D60A-4181-A1E7-B867F86B6365,629421,629421_b,b
150,629422_b,11,0.2541467229878552,Open green space,629422,E00015376,E00015376,E01003051,862995,-0.104621932529066,51.46152620417229,Cy3bwp8i4K_4Qui531Qwuw,51.461521099236094,-0.104628320704375,6,2008,202.276263355833,469A14B3-D60A-4181-A1E7-B867F86B6365,629422,629422_b,b
151,629415_b,13,0.2123673420017746,Estates,629415,E00015376,E00015376,E01003051,862988,-0.103940554888941,51.4627046993853,mIueNqnS8T19l0lSNx3Stw,51.4626860142225,-0.1038835108556769,6,2008,190.93209714739496,469A14B3-D60A-4181-A1E7-B867F86B6365,629415,629415_b,b
153,629414_b,13,0.3911079191533395,Estates,629414,E00015376,E00015376,E01003051,862987,-0.103878512395446,51.462880264912606,KVEHh0YvwaRz9hKAq2cpmw,51.46287340838701,-0.103825730481619,6,2008,190.93209714739496,469A14B3-D60A-4181-A1E7-B867F86B6365,629414,629414_b,b
155,635508_b,10,0.2846931921724659,High-density,635508,E00015597,E00015597,E01003093,871434,-0.122211040231827,51.4702646990412,8j9YcOz1poGyTVwigE4LsQ,51.4702719747249,-0.122196352804508,10,2009,145.62544975212,09F7A318-3761-441C-B1D6-E40DEC338C20,635508,635508_b,b
158,635513_b,10,0.3396393607012787,High-density,635513,E00015597,E00015597,E01003093,871440,-0.121821794995251,51.470271666825,Vbv_xJt8N8FdAeeXQa-UiQ,51.470266662178496,-0.121777874252357,5,2012,151.288774030033,26AD50B6-868F-41B8-8135-F7352006B156,635513,635513_b,b
162,635507_b,10,0.2691229194831712,High-density,635507,E00015597,E00015597,E01003093,871433,-0.122054688086266,51.4701137358173,Ya7MYyUUnvLn5OuFunu4Ew,51.470076499812,-0.122040431565104,10,2009,145.656349908783,09F7A318-3761-441C-B1D6-E40DEC338C20,635507,635507_b,b
165,635940_b,10,0.579095288124088,High-density,635940,E00015597,E00015597,E01003093,872012,-0.122438358839978,51.4705099316915,IgYYjuL3ARircC8bYMOqhQ,51.4705366230268,-0.122429846885012,5,2012,150.101098161385,F12D8FF6-BB4F-4F68-9DAE-8167C7A0B43D,635940,635940_b,b
167,635937_b,13,0.1215742804612348,Estates,635937,E00015597,E00015597,E01003093,872008,-0.122524569388085,51.4696103001098,VQloc5_SN3exYQ4KLT8Nbg,51.469633459341495,-0.1224316963033,5,2012,236.140585835582,EFB40591-AC82-4BB2-B0BA-740F66D44129,635937,635937_b,b
168,635939_b,13,0.001,Estates,635939,E00015597,E00015597,E01003093,872010,-0.122038374017838,51.469802898311904,Qi7CndIuJba6NXj3se2QAQ,51.4697700559876,-0.12206725889477,10,2009,236.14930675135895,EFB40591-AC82-4BB2-B0BA-740F66D44129,635939,635939_b,b
170,635932_b,13,0.5318002654561766,Estates,635932,E00015597,E00015597,E01003093,872002,-0.122767651817454,51.4695139867136,42sdn3oBqWerEtVPOAPe0Q,51.469556358459,-0.122727068097133,10,2009,142.786185901891,39EB7FFD-5CEA-4E59-B8EB-487FAB40569F,635932,635932_b,b
171,635506_b,10,0.557894391044196,High-density,635506,E00015597,E00015597,E01003093,871432,-0.121898429702785,51.469962734936296,pSGda-4Cmcp-2xqdcDYj_Q,51.4700745999316,-0.122024789473033,5,2012,145.656349908783,09F7A318-3761-441C-B1D6-E40DEC338C20,635506,635506_b,b
