,OA code,price,"Price (central estimate, natural log scale)",oa,Unnamed: 0
2270,E00002360,273647.80383225234,12.5195971710776,E00002360,5.438899644085618
2271,E00002361,332696.5024123973,12.7149859492143,E00002361,5.777198662192134
2272,E00002362,310727.10369652906,12.6466703258749,E00002362,5.4206925916671755
2273,E00002363,355308.5691507392,12.7807418997896,E00002363,5.86332471881594
2274,E00002364,334604.8648091035,12.7207056066076,E00002364,5.316441860604794
2275,E00002365,308617.4414755962,12.6398577353815,E00002365,5.496959768235683
2276,E00002366,332077.4740219599,12.7131235761633,E00002366,5.758323738069246
2277,E00002367,377369.87459626084,12.8409810851912,E00002367,5.813429136774433
2278,E00002368,370053.6245519206,12.8214032053403,E00002368,5.50575253257045
2279,E00002369,303719.201103261,12.6238588729512,E00002369,5.553538388984148
2280,E00002370,237939.8712505303,12.3797732789298,E00002370,5.224845202432738
2281,E00002372,288394.37396791315,12.5720841764631,E00002372,5.132553620771929
2282,E00002373,228340.6681877717,12.3385939515104,E00002373,5.014853464232551
2283,E00002374,228008.54102707238,12.33713836788,E00002374,4.963318269699812
2284,E00002375,223277.56854307067,12.3161709784298,E00002375,5.459127023816109
2285,E00002376,226816.12501669416,12.3318949462656,E00002376,4.7760382175445555
2286,E00002377,268263.0481651915,12.4997233011187,E00002377,5.142454679807027
2287,E00002378,272747.01843586593,12.5162999721447,E00002378,5.458454520614059
2288,E00002379,239281.60257291843,12.385396390761,E00002379,5.589014483534771
2289,E00002380,250274.77781596835,12.4303147045277,E00002380,5.4004924671990535
2290,E00002381,281638.39677436353,12.5483792461526,E00002381,5.707017045754653
2291,E00002382,266539.549078453,12.4932779133729,E00002382,5.395368205176459
2292,E00002383,619949.1714538146,13.3373927721345,E00002383,5.725592918694019
2293,E00002384,672710.7974117841,13.4190707947423,E00002384,5.655469908033099
2294,E00002385,1133248.4590619851,13.940598809051,E00002385,5.937830944856008
2295,E00002386,421864.1661831369,12.9524386601207,E00002386,5.607671688584721
2296,E00002387,569729.5161060685,13.252916994037,E00002387,5.928472844565787
2297,E00002388,1099287.828043012,13.9101730990441,E00002388,5.859310527001658
2298,E00002389,876192.470342083,13.6833410607871,E00002389,6.105814196169376
2299,E00002390,512933.2609532295,13.147901020082,E00002390,5.334326538172635
2300,E00002391,469576.4888018621,13.0595864798071,E00002391,5.923300213283962
