,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,outdoor_resid,Education..Skills.and.Training.Score,wealth_resid,education_resid
153,154,153,E01000158,0.13,E01000158,5.64816978168488,0.0710529845601998,6,0.839,-0.0732893367313454,10.783,0.0710529845601998,-0.107229173971884
154,155,154,E01000159,0.112,E01000159,5.69554814696312,0.0938132746859806,7,0.775,0.0532061530143789,4.883,0.0938132746859806,0.0007394581434338
155,156,155,E01000160,0.07,E01000160,5.55679823114322,-0.102378816489669,2,1.01,0.128350705845935,7.531,-0.102378816489669,0.0665818102429621
157,158,157,E01000162,0.117,E01000162,5.66220825838755,0.0673117403194324,6,1.147,-0.11926085667182,9.943,0.0673117403194324,-0.0459943986446442
158,159,158,E01000163,0.2,E01000163,5.29337466464323,-0.188005173555198,1,0.956,0.27889921141681,13.328,-0.188005173555198,0.0668390121000547
159,160,159,E01000164,0.172,E01000164,5.21584509750137,-0.303829524267557,0,1.612,0.437682582509092,11.909,-0.303829524267557,0.229218064479691
160,161,160,E01000165,0.099,E01000165,5.50611647321374,-0.113398120006841,2,0.977,0.264178193787243,5.196,-0.113398120006841,0.189980079777552
161,162,161,E01000166,0.105,E01000166,5.70877293292723,0.0974643647574623,7,0.384,-0.0219775103036915,7.16,0.0974643647574623,-0.142554854478514
163,164,163,E01000168,0.05,E01000168,5.62298408733017,-0.0635463771387862,3,0.397,0.000882666137319,3.41,-0.0635463771387862,0.0329738610108962
164,165,164,E01000169,0.086,E01000169,5.75238664014965,0.11509232598562,7,0.576,-0.0851641686129912,4.871,0.11509232598562,0.0076748217382211
171,172,171,E01000176,0.233,E01000176,5.23129553087922,-0.204951169539692,1,1.111,0.247570660233744,19.609,-0.204951169539692,-0.0605728696190164
172,173,172,E01000177,0.055,E01000177,5.62769310509981,-0.0519990051601338,3,1.073,-0.110657199230964,4.627,-0.0519990051601338,-0.0996307895014217
173,174,173,E01000178,0.058,E01000178,5.69094752760257,0.0153584298680381,5,0.824,-0.0870451437010417,1.098,0.0153584298680381,-0.178787411688186
174,175,174,E01000179,0.064,E01000179,5.57666164402868,-0.0907214286550256,2,0.974,-0.0228878200274266,2.024,-0.0907214286550256,-0.021790340503128
175,176,175,E01000180,0.13,E01000180,5.65756240635053,0.0804456092258595,6,1.09,0.0540327331469838,4.839,0.0804456092258595,-0.0502264102742206
179,180,179,E01000184,0.212,E01000184,5.33909039188314,-0.125877396213643,2,1.417,0.353707376997275,17.632,-0.125877396213643,-0.222593865756976
181,182,181,E01000186,0.044,E01000186,5.68136995815369,-0.0133665313660888,4,0.963,0.066311937446429,3.442,-0.0133665313660888,0.0683766337657108
183,184,183,E01000188,0.032,E01000188,5.30602158851822,-0.405126951103202,0,1.433,0.56165289730934,2.684,-0.405126951103202,0.1783727931037
